id;description;cost;min_participants;max_participants;time;location
1;fooey;indict;5328;24936;21710;tog knottily blight
2;mundane problem;weakly dereference triumphantly;21307;20756;24021;and psst
3;quietly;certainly;30402;13320;8752;wonderfully shoddy yippee
4;that gadzooks mortally;through sticky hence;8152;17228;18594;wet-bar hull
5;around common gah;between save searchingly;2757;4914;11537;aha
6;forenenst brr;inasmuch vaguely leaflet;15828;19954;12873;stability easily
7;provided near yet;governor but joint;29605;11963;4662;as radiate
8;digestion;thankful sentence;15278;12807;14984;besides eek
9;animated;um;18184;26076;29848;meh afore
10;how;imprint hm worthwhile;10376;14833;17067;resume but
